PO_MW (g/mol),DI_MR,PO_MR,CE_MR,IsoIndex,CHS (%),Tr1,Tr2,Gage_Length (mm),Gage_Width (mm),Thickness (mm),Elongation_Rate (mm/min),Strain_Rate (/min),Young's modulus (Mpa),Tensile strength (Mpa),Elongation at break (%)
860,0.5,0.273,,1.0,40.6,90.0,90.0,20.0,4.0,1.0,100.0,5.0,26.8,19.9,680.0
1250,0.509,0.268,,1.04,30.0,80.0,110.0,10.0,4.0,1.3,20.0,2.0,11.75,49.2,604.0
1250,0.507,0.181,0.312,1.03,40.0,80.0,110.0,10.0,4.0,1.3,20.0,2.0,33.9,49.2,604.0
1250,0.507,0.125,0.368,1.03,50.0,80.0,110.0,10.0,4.0,1.3,20.0,2.0,44.2,76.4,595.4
1160,0.507,0.198,0.295,1.03,40.0,80.0,110.0,10.0,4.0,1.3,20.0,2.0,22.7,59.1,494.0
1160,0.507,0.137,,1.03,50.0,80.0,110.0,10.0,4.0,1.3,20.0,2.0,47.4,75.5,510.0
2030,0.5122,0.2004,,1.05,29.2,65.0,25.0,24.0,5.0,0.5,25.0,1.042,6.0,17.9,1020.0
2030,0.5122,0.1063,,1.05,45.3,65.0,25.0,24.0,5.0,0.5,25.0,1.042,70.0,26.7,480.0
7960,0.5122,0.1059,0.3819,1.05,17.5,65.0,25.0,24.0,5.0,0.5,25.0,1.042,1.5,8.4,1550.0
7960,0.5122,0.0913,,1.05,19.9,65.0,25.0,24.0,5.0,0.5,25.0,1.042,2.65,7.4,1170.0
7960,0.5122,0.0573,,1.05,28.8,65.0,25.0,24.0,5.0,0.5,25.0,1.042,4.5,17.0,980.0
11800,0.5122,0.0619,,1.05,20.1,65.0,25.0,24.0,5.0,0.5,25.0,1.042,2.2,8.1,1200.0
11800,0.5122,0.0371,,1.05,29.9,65.0,25.0,24.0,5.0,0.5,25.0,1.042,4.1,20.9,990.0
2000,0.5122,0.1979,0.2899,1.05,29.8,65.0,25.0,24.0,5.0,0.5,25.0,1.042,14.5,43.8,750.0
2000,0.5,0.2,0.3,1.0,35.29,120.0,130.0,25.0,6.0,1.0,100.0,4.0,38.5,22.8,938.0
2000,0.5,0.25,0.25,1.0,28.14,120.0,130.0,25.0,6.0,1.0,100.0,4.0,34.3,23.5,946.0
2000,0.5,0.3,,1.0,22.42,120.0,130.0,25.0,6.0,1.0,100.0,4.0,14.1,20.0,1100.0
2000,0.5,0.25,,1.0,28.14,120.0,130.0,25.0,6.0,1.0,100.0,4.0,120.9,20.3,929.0
2000,0.5,0.3,,1.0,22.42,120.0,130.0,25.0,6.0,1.0,100.0,4.0,130.0,16.3,1020.0
2000,0.5,0.4,,1.0,13.86,120.0,130.0,25.0,6.0,1.0,100.0,4.0,143.7,19.1,1206.0
1000,0.5,0.2,,1.0,45.42,110.0,130.0,25.0,6.0,1.0,100.0,4.0,35.5,18.0,420.0
1000,0.5,0.25,,1.0,37.9,110.0,130.0,25.0,6.0,1.0,100.0,4.0,25.5,18.44,450.0
1000,0.5,0.3,0.2,1.0,31.66,110.0,130.0,25.0,6.0,1.0,100.0,4.0,22.6,14.9,530.0
860,0.5,0.2,,1.0,49.18,110.0,130.0,25.0,6.0,1.0,100.0,4.0,55.0,32.8,330.0
860,0.5,0.25,,1.0,41.5,110.0,130.0,25.0,6.0,1.0,100.0,4.0,40.0,30.9,376.0
860,0.5,0.3,,1.0,35.01,110.0,130.0,25.0,6.0,1.0,100.0,4.0,21.2,29.6,450.0
860,0.5,0.4,0.1,1.0,24.49,110.0,120.0,25.0,6.0,1.0,100.0,4.0,19.6,21.5,550.0
2000,0.5,0.132,,1.0,50.0,110.0,130.0,25.0,6.0,1.0,100.0,4.0,22.2,42.7,450.0
2000,0.5,0.093,,1.0,60.0,110.0,130.0,25.0,6.0,1.0,100.0,4.0,44.4,39.9,425.0
2000,0.5,0.254,,1.0,30.0,110.0,130.0,25.0,6.0,1.0,100.0,4.0,39.2,21.6,675.0
2000,0.5,0.093,,1.0,60.0,110.0,130.0,25.0,6.0,1.0,100.0,4.0,44.6,30.0,345.0
860,0.5,0.2,,1.0,55.79,110.0,135.0,25.0,6.0,1.0,100.0,4.0,880.0,50.0,225.0
860,0.5,0.25,,1.0,48.41,110.0,135.0,25.0,6.0,1.0,100.0,4.0,192.0,51.8,250.0
860,0.5,0.2,0.3,1.0,56.33,110.0,135.0,25.0,6.0,1.0,100.0,4.0,460.0,34.4,225.0
860,0.5,0.2,,1.0,56.86,110.0,135.0,25.0,6.0,1.0,100.0,4.0,650.0,40.0,200.0
1000,0.5,0.142,0.358,1.0,56.2,65.0,65.0,25.0,2.0,0.5,70.0,2.8,77.17,31.1,530.0
1000,0.5,0.2,,1.0,45.08,80.0,60.0,25.0,6.0,1.0,100.0,4.0,161.3,29.3,693.0
2000,0.512,0.222,0.266,1.05,25.55,80.0,60.0,50.0,10.0,0.5,50.0,1.0,6.47,42.0,828.0
2000,0.512,0.203,,1.05,27.45,80.0,60.0,50.0,10.0,0.5,50.0,1.0,7.01,38.3,690.0
2000,0.512,0.188,0.3,1.05,29.26,80.0,60.0,50.0,10.0,0.5,50.0,1.0,5.93,40.5,743.0
