SSID,ZS_CHS,ZS_R,ZS_log_Tr1K,ZS_log_Tr2K,PMStep,Form_Method,ZS_log_CSArea,ZS_log_StrainRate,ZS_log_PO_MW,ZS_log_FCVm,ZS_FCCED,ZS_log_Fchi,ZS_SS_TPSA_norm,ZS_SS_MolLogP_norm,ZS_HS_BertzCT,ZS_SS_VSA_EState8,ZS_SS_PEOE_VSA8,ZS_log_HS_NumNHCO_norm,ZS_FC_NumHAcceptors_norm,ZS_FC_RingCount_norm,logEB,logYM,logTS
SS1266,0.981622726,-0.45846916,0.257283837,1.106032015,1,3,0.754153633,0.627556623,-0.699792708,-0.745168367,0.561136403,-0.179910027,-0.360023101,0.004447753,-0.125659226,-0.097645705,0.952921356,-0.475766307,-0.729034928,-0.383123,0.62838893,1.677606953,1.40654018
SS1267,0.340148593,-0.45846916,0.257283837,1.106032015,1,3,0.754153633,0.627556623,-0.699792708,-0.521891245,0.243612026,-0.138914721,-0.360023101,0.004447753,-0.388923482,-0.097645705,0.952921356,-0.25210497,-0.390832314,-0.713795716,0.815577748,1.489958479,1.447158031
SS1268,1.623096859,-0.45846916,0.257283837,1.106032015,1,3,0.754153633,0.627556623,-0.904926684,-1.161246018,1.451015287,-0.649712312,0.925136167,0.676394395,0.011134946,-0.834294412,-1.013315389,-0.585116672,-0.490318983,-0.198870262,0.444044796,1.923761961,1.565847819
SS1269,0.981622726,-0.45846916,0.257283837,1.106032015,1,3,0.754153633,0.627556623,-0.904926684,-0.967986069,1.132050916,-0.618897026,0.925136167,0.676394395,-0.217285511,-0.834294412,-1.013315389,-0.399988587,-0.051242,-0.501198057,0.607455023,1.748962861,1.62838893
SS1270,0.340148593,-0.45846916,0.257283837,1.106032015,1,3,0.754153633,0.627556623,-0.904926684,-0.783334885,0.850558625,-0.617794448,0.925136167,0.676394395,-0.499907433,-0.834294412,-1.013315389,-0.152022677,0.430639662,-0.84663737,0.725911632,1.507855872,1.629409599
SS1272,-0.447581643,1.926609075,0.827342413,1.214866817,1,3,0.754153633,0.627556623,0.242955685,0.244517419,0.04597206,-0.347631702,0.833986817,0.875190244,-0.226727894,-0.651872689,-1.206811019,-0.478677746,1.660805187,-0.768488433,0.698970004,1.680335513,1.571708832
SS1273,-0.94536557,1.926609075,0.827342413,1.214866817,1,3,0.754153633,0.627556623,0.242955685,0.497299048,-0.080257559,-0.281540013,0.833986817,0.875190244,-0.586451054,-0.651872689,-1.206811019,-0.142404824,1.778870634,-1.108335734,0.77815125,1.745855195,1.51851394
SS1274,0.657678289,1.926609075,0.827342413,1.214866817,1,3,0.754153633,0.627556623,0.242955685,-0.17187837,0.307541896,-0.234758139,0.833986817,0.875190244,0.86236553,-0.651872689,-1.206811019,-1.425523665,0.47541444,1.109198301,0.447158031,1.610660163,1.544068044
SS1275,-0.106958878,1.926609075,0.827342413,1.214866817,1,3,0.754153633,0.627556623,0.242955685,0.171091439,0.052359052,-0.159287249,0.833986817,0.875190244,0.466432524,-0.651872689,-1.206811019,-1.124495451,0.75122923,0.836729528,0.602059991,1.794488047,1.562292864
SS1276,-0.627835874,1.926609075,0.827342413,1.214866817,1,3,0.754153633,0.627556623,0.242955685,0.427337575,-0.077221975,-0.054938053,0.833986817,0.875190244,0.075289915,-0.651872689,-1.206811019,-0.86272097,0.896974697,0.533579718,0.672097858,1.857935265,1.572871602
SS1279,-0.705454244,-0.45846916,0.827342413,1.214866817,1,3,0.754153633,0.627556623,0.242955685,0.534263838,0.099731432,0.169887303,0.833986817,0.875190244,1.094639177,-0.651872689,-1.206811019,-0.78024523,1.025620167,0.576649151,0.602059991,1.255272505,1.525044807
SS1282,-0.65349484,-0.45846916,0.827342413,1.214866817,1,3,0.754153633,0.627556623,0.242955685,0.553745895,0.093912013,0.076914115,0.833986817,0.875190244,1.141615814,-0.651872689,-1.206811019,-0.894634298,0.592066057,0.470997396,0.740362689,1.245512668,1.492760389
SS1285,0.237512731,-1.412500454,0.109860603,0.423238831,2,4,1.073789386,0.627556623,-0.699792708,-0.618402325,0.346006662,-0.173026262,0.315994218,-1.173324372,0.171298062,-0.176363514,1.006375069,-0.16734733,0.282220206,0.497216491,0.854913022,1.269512944,1.149219113
SS1286,0.23109799,-0.45846916,0.109860603,0.423238831,2,4,1.073789386,0.627556623,-0.699792708,-0.615800323,0.345689606,-0.171382948,0.315994218,-1.173324372,0.167556717,-0.176363514,1.006375069,-0.163062637,0.279918029,0.498920402,0.874481818,1.264817823,1.240549248
SS1288,0.42354023,-2.843547395,0.109860603,0.423238831,2,4,1.073789386,0.627556623,-0.699792708,-0.705008534,0.415626835,-0.211370041,0.315994218,-1.173324372,0.195539383,-0.176363514,1.006375069,-0.194947097,0.193952168,0.564487671,0.757396029,1.611723308,1.08278537
SS1289,0.42354023,-1.412500454,0.109860603,0.423238831,2,4,1.073789386,0.627556623,-0.699792708,-0.74472859,0.462876246,-0.158182431,0.315994218,-1.173324372,0.159830309,-0.176363514,1.006375069,-0.119704356,0.235081165,0.660700625,0.802773725,1.57054294,1.23299611
SS1290,0.410710747,-0.45846916,0.109860603,0.423238831,2,4,1.073789386,0.627556623,-0.699792708,-0.738482889,0.458906638,-0.155906709,0.315994218,-1.173324372,0.156378069,-0.176363514,1.006375069,-0.116241846,0.23533723,0.658290573,0.887054378,1.517195898,1.385606274
SS1292,0.603152987,-2.843547395,0.109860603,0.423238831,2,4,1.073789386,0.627556623,-0.699792708,-0.832203725,0.5405721,-0.191944294,0.315994218,-1.173324372,0.178231664,-0.176363514,1.006375069,-0.138086579,0.163242852,0.729964682,0.725911632,1.73479983,1.204119983
SS1293,0.596738246,-1.412500454,0.109860603,0.423238831,2,4,1.073789386,0.627556623,-0.699792708,-0.829116587,0.539856169,-0.190930997,0.315994218,-1.173324372,0.174582227,-0.176363514,1.006375069,-0.134450782,0.15831212,0.731502117,0.815577748,1.717670503,1.348304863
SS1294,0.590323505,-0.45846916,0.109860603,0.423238831,2,4,1.073789386,0.627556623,-0.699792708,-0.826016474,0.538436067,-0.189853097,0.315994218,-1.173324372,0.171948165,-0.176363514,1.006375069,-0.131823547,0.155878105,0.731712037,0.890421019,1.712649702,1.445604203
SS1301,-0.801675364,-0.45846916,0.109860603,0.884251738,2,4,0.754153633,2.266897347,-0.699792708,-0.212673365,-0.224142241,0.29787941,-0.360023101,0.004447753,-0.003209511,-0.097645705,0.952921356,0.39522502,0.331784408,0.426666847,0.753583059,1.761175813,1.525044807
SS1302,-0.526482961,-0.45846916,0.109860603,0.884251738,2,4,0.754153633,2.266897347,-0.699792708,-0.36740927,-0.137947029,0.200666603,-0.360023101,0.004447753,0.052345982,-0.097645705,0.952921356,0.316533852,0.253144664,0.589418606,0.704150517,1.887786035,1.494154594
SS1303,-0.280156894,-0.45846916,0.109860603,0.884251738,2,4,0.754153633,2.266897347,-0.699792708,-0.502662449,-0.054727925,0.125122577,-0.360023101,0.004447753,0.09199278,-0.097645705,0.952921356,0.261734374,0.189552593,0.720580431,0.682145076,2.168850904,1.421603927
SS1304,-1.425188222,-0.45846916,0.109860603,0.884251738,2,4,0.754153633,2.266897347,0.242955685,0.920066971,-0.78525625,0.863164611,-0.557772199,0.185004065,-0.003209511,0.062210277,1.097456765,0.39522502,0.238263641,0.426024086,0.90579588,1.009025742,1.372912003
SS1305,-1.246216939,-0.45846916,0.109860603,0.884251738,2,4,0.754153633,2.266897347,0.242955685,0.744907925,-0.732654437,0.760642522,-0.557772199,0.185004065,0.052345982,0.062210277,1.097456765,0.316533852,0.169097962,0.589668055,0.890979597,1.103803721,1.44870632
